id,type,date,recorded_date,amount,recorded_amount,approver,preparer,payment/receipt_status,payment_method,cost_per_unit,supplier_id,supplier_name,product_id,product_name,quantity,unit_price,receive_method,customer_id,tax_amount,after_tax_amount,cost_amount,profit,asset_name,asset_type
Initial20231231001,Cash deposit,2023-12-31,2023-12-31,3000000.0,3000000.0,,,,,,,,,,,,,,,,,,,
Initial20231231001,Bank deposit,2023-12-31,2023-12-31,5000000.0,5000000.0,,,,,,,,,,,,,,,,,,,
Initial20231231001,Fixed Assets,2023-12-31,2023-12-31,5000000.0,5000000.0,,,,,,,,,,,,,,,,,,,
Purchase20231231001,Purchase,2023-12-31,2023-12-31,25000.0,25000.0,Director,Senior Staff,Paid,Bank Transfer,5000.0,S008,Supplier 8,P001,Premium Product A,5.0,5000.0,,,,,,,,
Purchase20231231002,Purchase,2023-12-31,2023-12-31,90000.0,90000.0,Director,Senior Staff,Unpaid,Account Payable,10000.0,S002,Supplier 2,P002,Premium Product B,9.0,10000.0,,,,,,,,
Purchase20231231003,Purchase,2023-12-31,2023-12-31,30000.0,30000.0,Director,Senior Staff,Unpaid,Account Payable,5000.0,S003,Supplier 3,P001,Premium Product A,6.0,5000.0,,,,,,,,
Purchase20231231004,Purchase,2023-12-31,2023-12-31,250000.0,250000.0,Director,Senior Staff,Paid,Cash,50000.0,S006,Supplier 6,P004,Premium Product D,5.0,50000.0,,,,,,,,
Expense20240101001,Sales Expenses,2024-01-01,2024-01-01,24861.73,24861.73,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240101001,Administrative Expenses,2024-01-01,2024-01-01,29611.11,29611.11,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240101001,Sales Expenses,2024-01-01,2024-01-01,16439.23,16439.23,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Depreciation20240101001,Depreciation,2024-01-01,2024-01-01,45749.3,45749.3,,,,,,,,,,,,,,,,,,,
Interest20240101001,Interest Receivables,2024-01-01,2024-01-01,442.775,442.775,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240102003,Sale,2024-01-02,2024-01-02,86364.37,86364.37,,,Paid,,50000.0,,,P004,Premium Product D,1.0,86364.37,Cash,C002,4318.22,82046.15,50000.0,36364.369999999995,,
Sale20240102004,Sale,2024-01-02,2024-01-02,37626.38,37626.38,,,Unpaid,,10000.0,,,P002,Premium Product B,2.0,18813.19,Account Receviable,C015,1881.32,35745.06,20000.0,17626.379999999997,,
Purchase20231231005,Purchase,2023-12-31,2023-12-31,60000.0,60000.0,Director,Staff,Paid,Cash,20000.0,S003,Supplier 3,P003,Premium Product C,3.0,20000.0,,,,,,,,
Purchase20231231006,Purchase,2023-12-31,2023-12-31,200000.0,200000.0,Director,Staff,Paid,Cash,20000.0,S007,Supplier 7,P003,Premium Product C,10.0,20000.0,,,,,,,,
Expense20240102001,Financial Expenses,2024-01-02,2024-01-02,11662.77,11662.77,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240102001,Sales Expenses,2024-01-02,2024-01-02,3170.38,3170.38,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Interest20240102002,Interest Receivables,2024-01-02,2024-01-02,442.775,442.775,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240103006,Sale,2024-01-03,2024-01-03,52195.47,52195.47,,,Paid,,10000.0,,,P002,Premium Product B,3.0,17398.49,Cash,C017,2609.77,49585.7,30000.0,22195.47,,
Sale20240103007,Sale,2024-01-03,2024-01-03,38445.68,38445.68,,,Unpaid,,10000.0,,,P002,Premium Product B,2.0,19222.84,Account Receviable,C017,1922.28,36523.4,20000.0,18445.68,,
Purchase20231231007,Purchase,2023-12-31,2023-12-31,400000.0,400000.0,Director,Supervisor,Paid,Cash,50000.0,S003,Supplier 3,P004,Premium Product D,8.0,50000.0,,,,,,,,
Purchase20231231008,Purchase,2023-12-31,2023-12-31,80000.0,80000.0,Director,Senior Staff,Paid,Cash,10000.0,S002,Supplier 2,P002,Premium Product B,8.0,10000.0,,,,,,,,
Expense20240103001,Sales Expenses,2024-01-03,2024-01-03,29896.05,29896.05,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240103001,Sales Expenses,2024-01-03,2024-01-03,6361.85,6361.85,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240103003,Interest Receivables,2024-01-03,2024-01-03,442.775,442.775,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240104010,Sale,2024-01-04,2024-01-04,112557.72,112557.72,,,Paid,,20000.0,,,P003,Premium Product C,3.0,37519.24,Cash,C007,5627.89,106929.83,60000.0,52557.72,,
Sale20240104011,Sale,2024-01-04,2024-01-04,97615.0,97615.0,,,Paid,,50000.0,,,P004,Premium Product D,1.0,97615.0,Cash,C007,4880.75,92734.25,50000.0,47615.0,,
Expense20240104001,Sales Expenses,2024-01-04,2024-01-04,8542.29,8542.29,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240104001,Sales Expenses,2024-01-04,2024-01-04,10636.26,10636.26,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Interest20240104004,Interest Receivables,2024-01-04,2024-01-04,442.775,442.775,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240105014,Sale,2024-01-05,2024-01-05,97747.17,97747.17,,,Paid,,50000.0,,,P004,Premium Product D,1.0,97747.17,Cash,C002,4887.36,92859.81,50000.0,47747.17,,
Sale20240105015,Sale,2024-01-05,2024-01-05,35631.18,35631.18,,,Unpaid,,20000.0,,,P003,Premium Product C,1.0,35631.18,Account Receviable,C006,1781.56,33849.62,20000.0,15631.18,,
Sale20240105016,Sale,2024-01-05,2024-01-05,52194.45,52194.45,,,Paid,,10000.0,,,P002,Premium Product B,3.0,17398.15,Cash,C006,2609.72,49584.73,30000.0,22194.449999999997,,
Sale20240105017,Sale,2024-01-05,2024-01-05,35328.52,35328.52,,,Paid,,10000.0,,,P002,Premium Product B,2.0,17664.26,Cash,C003,1766.43,33562.09,20000.0,15328.519999999997,,
Expense20240105001,Financial Expenses,2024-01-05,2024-01-05,10753.83,10753.83,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240105001,Sales Expenses,2024-01-05,2024-01-05,22399.78,22399.78,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Expense20240105001,Administrative Expenses,2024-01-05,2024-01-05,19913.08,19913.08,Director,Senior Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240105005,Interest Receivables,2024-01-05,2024-01-05,442.775,442.775,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240106019,Sale,2024-01-06,2024-01-06,29950.44,29950.44,,,Paid,,5000.0,,,P001,Premium Product A,3.0,9983.48,Cash,C017,1497.52,28452.92,15000.0,14950.439999999999,,
Sale20240106020,Sale,2024-01-06,2024-01-06,88293.54,88293.54,,,Paid,,50000.0,,,P004,Premium Product D,1.0,88293.54,Cash,C019,4414.68,83878.86,50000.0,38293.53999999999,,
Purchase20231231009,Purchase,2023-12-31,2023-12-31,100000.0,100000.0,Director,Supervisor,Paid,Bank Transfer,10000.0,S001,Supplier 1,P002,Premium Product B,10.0,10000.0,,,,,,,,
Expense20240106001,Administrative Expenses,2024-01-06,2024-01-06,13799.43,13799.43,Director,Supervisor,Paid,Cash,,,,,,,,,,,,,,,
Expense20240106001,Sales Expenses,2024-01-06,2024-01-06,8817.98,8817.98,Director,Staff,Paid,Cash,,,,,,,,,,,,,,,
Interest20240106006,Interest Receivables,2024-01-06,2024-01-06,433.875,433.875,,,Unpaid,,,,,,,,,Interest receviable,,,,,,,
Sale20240107022,Sale,2024-01-07,2024-01-07,34907.97,34907.97,,,Paid,,20000.0,,,P003,Premium Product C,1.0,34907.97,Cash,C010,1745.4,33162.57,20000.0,14907.970000000001,,
Sale20240107023,Sale,2024-01-07,2024-01-07,34536.92,34536.92,,,Paid,,10000.0,,,P002,Premium Product B,2.0,17268.46,Cash,C018,1726.85,32810.07,20000.0,14536.919999999998,,
FixedAsset20231231001,Fixed Assets Purchase,2023-12-31,2023-12-31,106218.2,106218.2,,,Paid,Bank Transfer,,S002,Supplier 2,,,,,,,,,,,Production Line4,Production Line
